Cluster,Year_Counts
0,"{1907: 1, 1908: 1, 1894: 2}"
1,"{1884: 1, 1906: 1, 1885: 4, 1910: 5, 1919: 1, 1889: 1, 1886: 1, 1908: 1, 1907: 1, 1877: 1, 1904: 3, 1874: 2, 1926: 2, 1915: 1, 1882: 3, 1879: 1, 1890: 3, 1875: 3, 1881: 1, 1872: 2, 1894: 1, 1888: 1, 1918: 1, 1898: 1, 1920: 1, 1913: 2, 1893: 1}"
2,"{1886: 3, 1888: 4, 1881: 1, 1892: 1, 1906: 1, 1876: 1, 1877: 2, 1889: 2, 1912: 1, 1879: 1, 1915: 1, 1896: 1, 1907: 1, 1883: 2, 1882: 1, 1899: 1, 1872: 1}"
3,"{1899: 1, 1907: 2, 1889: 2, 1891: 1, 1880: 1, 1886: 1, 1895: 1, 1912: 1, 1871: 1, 1873: 1, 1906: 1, 1929: 1, 1894: 2, 1905: 1, 1890: 1, 1883: 1, 1893: 1, 1902: 1}"
4,"{1879: 1, 1865: 1, 1866: 1, 1887: 1, 1880: 1, 1891: 1, 1885: 1, 1876: 1}"
5,{1918: 1}
6,"{1902: 1, 1878: 3, 1879: 1, 1895: 3, 1905: 2, 1900: 1, 1904: 1, 1884: 2, 1903: 1, 1881: 3, 1918: 2, 1912: 1, 1870: 1, 1880: 2, 1889: 3, 1877: 3, 1892: 2, 1888: 1, 1923: 1, 1885: 1, 1898: 1, 1908: 1, 1887: 1}"
7,"{1887: 2, 1875: 2, 1897: 2, 1889: 2, 1913: 1, 1891: 1, 1908: 1, 1919: 1, 1904: 1, 1903: 1, 1874: 1, 1879: 1, 1930: 1, 1895: 1, 1896: 4, 1871: 2, 1902: 2, 1886: 1, 1890: 1, 1885: 1, 1876: 1, 1881: 1, 1882: 1, 1910: 1, 1872: 1, 1894: 2, 1884: 1}"
8,"{1887: 1, 1899: 1, 1904: 1, 1900: 1, 1880: 2, 1885: 1, 1896: 1, 1917: 1}"
9,"{1889: 2, 1874: 1, 1881: 1, 1880: 3, 1898: 1, 1890: 1, 1896: 1, 1893: 1, 1907: 1, 1884: 1, 1883: 2, 1937: 1, 1878: 1, 1915: 1, 1930: 1, 1916: 1, 1876: 1}"
10,"{1865: 1, 1885: 3, 1882: 1, 1874: 1, 1875: 1, 1896: 1, 1917: 1, 1912: 1, 1893: 1, 1913: 1, 1872: 1, 1892: 1, 1878: 1, 1890: 1, 1897: 1, 1889: 1, 1901: 1, 1900: 2, 1895: 1, 1888: 1, 1861: 1, 1871: 1, 1906: 1, 1881: 1, 1877: 1}"
11,"{1883: 1, 1908: 1, 1914: 1, 1887: 1, 1916: 1, 1907: 1, 1885: 2, 1921: 1, 1904: 1, 1900: 2, 1881: 1, 1886: 1, 1882: 1, 1895: 1, 1896: 1}"
12,"{1886: 2, 1865: 3, 1877: 1, 1885: 1, 1870: 1, 1887: 2, 1884: 2, 1874: 2, 1890: 1, 1893: 1, 1920: 1, 1880: 1, 1881: 3, 1910: 2, 1878: 2, 1875: 1, 1916: 1, 1873: 1, 1909: 1}"
13,"{1884: 1, 1895: 1, 1885: 1}"
14,"{1892: 1, 1880: 2, 1900: 2, 1918: 1, 1920: 1, 1905: 1, 1878: 1, 1912: 1, 1899: 2, 1890: 1}"
15,"{1910: 1, 1892: 1, 1894: 1, 1880: 1}"
